jockey_id,jockey_name,jockey_kana,region,is_active
5567,大柿一真,おおがきいっしん,地方,True
5571,菅原辰徳,すがわらたつのり,地方,True
5575,O.マーフィー,まーふぃー,海外,True
5578,落合玄太,おちあいげんた,地方,True
5579,出水拓人,でみずたくと,地方,True
5580,長谷部駿弥,はせべしゅんや,地方,True
5581,松木大地,まつきだいち,地方,True
5583,吉井章,よしいしょう,地方,True
5585,D.レーン,れーん,海外,True
5586,M.ミシェル,みしぇる,地方,True
5587,小松丈二,こまつじょうじ,地方,True
5592,小野楓馬,おのふううま,地方,True
5593,大木天翔,おおきかける,地方,True
5594,仲原大生,なかはらたいせい,地方,True
5595,福原杏,ふくはらあん,地方,True
5596,L.ヒューイットソン,ひゅーいっとそん,海外,True
5597,鴨宮祥行,かもみやよしゆき,地方,True
5598,山中悠希,やまなかゆうき,地方,True
5599,池谷匠翔,いけたにたくと,地方,True
5600,塚本雄大,つかもとゆうだい,地方,True
5601,金山昇馬,かなやましょうま,地方,True
5602,細川智史,ほそかわさとし,地方,True
5604,魚住謙心,うおずみけんしん,地方,True
5605,篠谷葵,しのやあおい,地方,True
5607,木間塚龍馬,きまつかりょうま,地方,True
5608,若杉朝飛,わかすぎあさと,地方,True
5609,飛田愛斗,ひだまなと,地方,True
5610,岡遼太郎,おかりょうたろう,地方,True
5611,七夕裕次郎,たなばたゆうじろう,地方,True
5612,菅原涼太,すがわらりょうた,地方,True
5617,浜尚美,はまなおみ,地方,True
5618,仲野光馬,なかのかづま,地方,True
5619,C.ホー,ほー,海外,True
5620,D.イーガン,いーがん,海外,True
5621,T.バシュロ,ばしゅろ,海外,True
5622,J.グラハム,ぐらはむ,海外,True
5623,C.パコー,ぱこー,海外,True
5624,吉本隆記,よしもとたかのり,地方,True
5625,H.ドイル,どいる,海外,True
5626,T.マーカンド,まーかんど,海外,True
5627,B.ムルザバエフ,むるざばえふ,海外,True
5628,小谷周平,こたにしゅうへい,地方,True
5629,及川烈,おいかわれつ,地方,True
5630,野畑凌,のばたりょう,地方,True
5631,大山龍太郎,おおやまりゅうたろう,地方,True
5632,浅野皓大,あさのこうだい,地方,True
5633,加茂飛翔,かもつばさ,地方,True
5635,長江慶悟,ながえけいご,地方,True
5636,長尾翼玖,ながおたすく,地方,True
5639,広瀬航,ひろせわたる,地方,True
5640,宮川実,みやがわみのる,地方,True
5641,L.モリス,もりす,海外,True
5642,M.ヴェロン,ゔぇろん,海外,True
5643,R.キング,きんぐ,海外,True
5644,A.バデル,ばでる,海外,True
5645,川島拓,かわしまたく,地方,True
5646,笹田知宏,ささだともひろ,地方,True
5647,新原周馬,にいはらしゅうま,地方,True
5648,大畑慧悟,おおはたけいご,地方,True
5650,谷内貫太,たにうちかんた,地方,True
5651,室陽一朗,むろひいろう,地方,True
5654,山田義貴,やまだよしき,地方,True
5655,加藤翔馬,かとうしょううま,地方,True
5659,A.ルメートル,るめーとる,海外,True
5660,R.キングスコート,きんぐすこーと,海外,True
5661,R.ピーヒュレク,ぴーひゅれく,海外,True
5662,K.リョン,りょん,海外,True
5663,T.オシェア,おしぇあ,海外,True
5664,D.サンチアゴ,さんちあご,海外,True
5665,鷹見陸,たかみりく,地方,True
5666,望月洵輝,もちづきじゅんき,地方,True
5667,土方颯太,ひじかたそうた,地方,True
5673,山林堂信彦,さんりんどうのぶひこ,地方,True
5674,M.ディー,でぃー,海外,True
5675,F.ゴンサルベス,ごんさるべす,海外,True
5676,T.ハマーハンセン,はまーはんせん,海外,True
5677,C.トーレス,とーれす,海外,True
5678,A.プーシャン,ぷーしゃん,海外,True
