horse_id,oldest_sibling_id,oldest_sibling_name,oldest_sibling_birth_year
2020101543,2021101382,ブリックワーク,2021
2020103045,2022102745,ベネスピラ,2022
2020106006,2021107049,ライトヴェール,2021
2022105209,2023103312,アンパンタイム,2023
2020103398,2021105557,トロヴァトーレ,2021
2021106993,2022104472,ナハトフリュグ,2022
2020101707,2021101546,スマートマートル,2021
2021100739,2022100198,ジューンシェイド,2022
2021101691,2022101689,インディーフィルム,2022
2022101068,2023105462,クラテロス,2023
2022101686,2023101159,アイニードユー,2023
2022104403,2024104950,キャディクラシコ,2024
2021101801,2023101216,ドキドキ,2023
2022106482,2023104265,サツキジュエル,2023
2022104619,2023106850,ゾロアストロ,2023
2020102861,2022105336,セレニティ,2022
2021105580,2022104828,ショウナンバジャラ,2022
2021105742,2023103875,マカナアネラ,2023
2020101550,2021101388,カティアール,2021
2021105730,2020103572,ピーチバウム,2020
2021110138,,,
2020104572,2019106429,ミスターボーラー,2019
2021103574,,,
2021106942,2020105898,スマイルマハロ,2020
2022100664,2023100119,ポピーレッド,2023
2022110066,2023110044,ペスカドール,2023
2020110031,,,
2022110129,,,
2021104978,2022105258,ホークライト,2022
2022100321,,,
2022101403,2024100426,クラウンドヘッドの2024,2024
2022105262,2023103354,ファイネクローネ,2023
2020100271,2018105927,バジガクシャルム,2018
2020100906,2021100910,ギンレイ,2021
2020106922,2022102845,メイショウマヒロ,2022
2022110135,,,
2020100530,2021100537,エスケイチャンス,2021
2020104304,2022103950,スマートスピニー,2022
2020105929,2019100926,スターペスカイル,2019
2021100953,2022100403,ウォーターガーベラ,2022
2022103211,2023105008,ゴールデンスラム,2023
2022103285,2023105050,ミトノテイオー,2023
2020101174,2019101211,シノジマニヨラサイ,2019
2020101199,2017100012,ホオポノポノの2017,2017
2021101724,2022101730,ガジュノリホワイト,2022
2022105597,2021104630,ディバインルーチェ,2021
2020100168,2021100166,ロードレイナード,2021
2021105092,2020102911,スノーエンジェルの2020,2020
2022107258,2024103672,ラブカンプーの2024,2024
2021106840,2022106828,マイネルゼウス,2022
2020103626,2021105788,バロネッサ,2021
2020107082,2021107265,ドルフィンスクエア,2021
2021105796,2023107248,ポニーテール,2023
2021105984,2022105985,セナマリン,2022
2022104790,2023107014,サレジオ,2023
2021103041,2022103030,グリームスター,2022
2021105853,2022105129,カンピドリオ,2022
2022104896,2023107104,ギリーカラム,2023
2022110006,2024107031,トナフトゥの2024,2024
2021110130,,,
2022104401,2023103166,ランスオブヒーロー,2023
2020104732,2016100835,ハルノツカイ,2016
2021110109,,,
2022104771,,Frankness,2020
2022105227,2023103845,トーアシチフクジン,2023
2022106544,2023105559,サンヴィクトワール,2023
2020103325,2022104730,パヴェリング,2022
2021102461,2022102461,ブルーマウンテン,2022
2021104455,2022104443,ヴェルサイユドール,2022
2021104832,2022105766,ドーギッド,2022
2021104891,2022105820,オルロジェール,2022
2020102959,2021105142,ヴィアダクト,2021
2021105540,2020103384,サロニカの2020,2020
2021105867,2022105146,デリツィオーサ,2022
2022100653,2023105819,ベイニーニャ,2023
2022105192,2023105348,ジョーカー,2023
2020100116,2022100582,プルシャプラ,2022
2022101684,2023101157,ゼロヴィジビリティ,2023
2019110127,,,
2020103433,2021105604,ステラスプレンダー,2021
2020103688,2021105866,ミッキーキャンドル,2021
2021105706,2022104967,サトノシャムロック,2022
2022101648,2023101123,モーリシャスビーチ,2023
2022105965,2023103894,サトノリシャール,2023
2022110087,,,
2021102458,2022102455,ヘイケ,2022
2021106954,2018106818,ミミタン,2018
2022103911,2023102731,ショウナンパステル,2023
2022107287,2024107382,サーレップティシャスの2024,2024
2019102102,2013100857,ドーンフライト,2013
2020105760,2021106786,コスモハーディング,2021
2021105168,2022105447,ストームレーン,2022
2021106874,2022106842,ゴールドパートナー,2022
2020106851,2019104041,トウシンイマジ,2019
2021103282,2023105041,ココロヅヨサ,2023
2022101431,2023100942,マウンテンバローズ,2023
2022102966,2023105350,ワイルドチャーム,2023
2022110051,,,
2020103400,2018105058,エリカポンシャン,2018
2021106658,2022106669,パシーヴ,2022
2021110087,,Massive Sovereign,2020
2021102256,2011100043,ホウショウマージ,2011
2021103586,2022103612,ガウラサンダー,2022
